Name,Location,Total,Arson,Assault,Burglary,Disturbing the Peace,Drugs/Alcohol Violations,DUI,Fraud,Homicide,Motor Vehicle Theft,Robbery,Sex Crimes,Theft/Larceny,Vandalism,Vehicle Break-In/Theft,Weapons
Apartment for Rent,"433 Lake S St, Los Angeles, CA 90057",76,0,27,9,0,0,0,0,0,9,11,0,13,0,7,0
Apartment for Rent,"4335 Walton Ave, Los Angeles, CA 90037",38,0,10,3,0,0,0,0,1,7,3,0,5,0,9,0
Apartment for Rent,"4412 8th Ave, Los Angeles, CA 90043",13,0,3,1,0,0,0,0,0,2,3,0,2,0,2,0
Apartment for Rent,"444 S Occidental Blvd, Los Angeles, CA 90057",64,1,18,6,0,0,0,0,0,9,5,1,11,0,13,0
Apartment for Rent,"449 E 49th St, Los Angeles, CA 90011",39,0,9,2,0,0,0,0,0,14,3,1,2,0,8,0
Apartment for Rent,"460 S Spring St, Los Angeles, CA 90013",217,1,67,9,0,0,0,0,0,28,26,2,48,0,36,0
Apartment for Rent,"4617 7th Ave, Los Angeles, CA 90043",12,0,4,1,0,0,0,0,0,3,1,0,2,0,1,0
Apartment for Rent,"4626 Wall St, Los Angeles, CA 90011",71,0,12,2,0,0,0,0,0,14,4,1,33,0,5,0
Apartment for Rent,"4726 4th Ave, Los Angeles, CA 90043",24,0,5,3,0,0,0,0,0,9,2,0,1,0,4,0
Apartment for Rent,"496 E 41st St, Los Angeles, CA 90011",58,0,8,1,0,0,0,0,0,9,4,0,35,0,1,0
Apartment for Rent,"553 S Coronado St, Los Angeles, CA 90057",70,0,25,4,0,0,0,0,1,6,10,1,11,0,12,0
Apartment for Rent,"5730 S Van Ness Ave, Los Angeles, CA 90062",59,0,25,4,0,0,0,0,0,14,9,1,5,0,1,0
Apartment for Rent,"5902 S Wilton Pl, Los Angeles, CA 90047",61,0,31,5,0,0,0,0,0,10,8,1,4,0,2,0
Apartment for Rent,"600 W 9th St, Los Angeles, CA 90015",264,1,36,6,0,0,0,0,0,47,21,0,92,0,61,0
Apartment for Rent,"6049 S Normandie Ave, Los Angeles, CA 90044",35,0,7,9,0,0,0,0,0,6,4,0,2,0,7,0
Apartment for Rent,"609 S Grand Ave, Los Angeles, CA 90017",255,0,48,7,0,0,0,0,0,37,24,1,91,0,47,0
Apartment for Rent,"612 Flower St, Los Angeles, CA 90017",230,0,39,9,0,0,0,0,0,36,20,2,80,0,44,0
Apartment for Rent,"618 W 54th St, Los Angeles, CA 90037",48,0,17,2,0,0,0,0,0,17,6,0,4,0,2,0
Apartment for Rent,"621 S Broadway, Los Angeles, CA 90014",257,1,67,10,0,0,0,0,0,35,24,1,69,0,50,0
Apartment for Rent,"625 S Berendo St, Los Angeles, CA 90005",76,0,21,12,0,0,0,0,2,9,11,0,10,0,11,0
Apartment for Rent,"630 S Kenmore Ave, Los Angeles, CA 90005",69,0,18,10,0,0,0,0,2,10,9,0,10,0,10,0
Apartment for Rent,"639 S Spring St, Los Angeles, CA 90014",280,1,76,12,0,0,0,0,0,39,26,2,72,0,52,0
Apartment for Rent,"685 S New Hampshire Ave, Los Angeles, CA 90005",81,0,22,11,0,0,0,0,2,11,11,1,11,0,12,0
Apartment for Rent,"687 Shatto Pl, Los Angeles, CA 90005",76,0,22,12,0,0,0,0,2,12,10,1,9,0,8,0
Apartment for Rent,"700 W 9th St, Los Angeles, CA 90015",255,1,38,5,0,0,0,0,1,45,20,0,85,0,60,0
Apartment for Rent,"702 W 42nd St, Los Angeles, CA 90037",44,0,11,2,0,0,0,0,0,4,6,0,13,0,8,0
Apartment for Rent,"709 W 48th St, Los Angeles, CA 90037",37,0,13,2,0,0,0,0,0,10,6,0,4,0,2,0
Apartment for Rent,"722 S Manhattan Plz, Los Angeles, CA 90005",54,0,13,3,0,0,0,0,0,13,5,0,8,0,12,0
Apartment for Rent,"727 S Coronado St, Los Angeles, CA 90057",83,0,28,6,0,0,0,0,2,12,12,1,11,0,11,0
Apartment for Rent,"734 Catalina S St, Los Angeles, CA 90005",71,0,19,12,0,0,0,0,2,12,9,0,6,0,11,0
Apartment for Rent,"737 S Kingsley Dr, Los Angeles, CA 90005",63,0,16,4,0,0,0,0,0,12,4,0,11,0,16,0
Apartment for Rent,"744 Beacon Ave, Los Angeles, CA 90017",105,1,37,10,0,0,0,0,1,12,17,0,16,0,11,0
Apartment for Rent,"746 S Los Angeles St, Los Angeles, CA 90014",241,2,71,11,0,0,0,0,0,34,26,2,57,0,38,0
Apartment for Rent,"748 Hartford Ave, Los Angeles, CA 90017",142,1,27,10,0,0,0,0,1,23,16,1,48,0,15,0
Apartment for Rent,"801 S Grand Ave, Los Angeles, CA 90017",268,1,43,8,0,0,0,0,0,44,22,1,94,0,55,0
Apartment for Rent,"807 S Flower St, Los Angeles, CA 90017",241,0,38,9,0,0,0,0,1,39,20,1,84,0,49,0
Apartment for Rent,"807 W 30th St, Los Angeles, CA 90007",70,0,6,6,0,0,0,0,0,16,1,0,36,0,5,0
Apartment for Rent,"810 S Spring St, Los Angeles, CA 90014",263,2,65,9,0,0,0,0,0,42,26,2,63,0,54,0
Apartment for Rent,"815 S Harvard Blvd, Los Angeles, CA 90005",65,0,14,5,0,0,0,0,0,14,4,0,11,0,17,0
Apartment for Rent,"815 S Lake St, Los Angeles, CA 90057",100,0,33,7,0,0,0,0,1,19,11,0,15,0,14,0
Apartment for Rent,"821 W 43rd Pl, Los Angeles, CA 90037",45,0,12,3,0,0,0,0,0,5,6,0,11,0,8,0
Apartment for Rent,"825 S Hill St, Los Angeles, CA 90014",306,1,52,9,0,0,0,0,0,50,26,1,100,0,67,0
Apartment for Rent,"832 S Oxford Ave, Los Angeles, CA 90005",66,0,13,8,0,0,0,0,0,15,5,0,12,0,13,0
Apartment for Rent,"833 S Berendo St, Los Angeles, CA 90005",68,0,17,11,0,0,0,0,2,12,9,0,7,0,10,0
Apartment for Rent,"835 S Oxford Ave, Los Angeles, CA 90005",65,0,13,9,0,0,0,0,0,15,4,0,12,0,12,0
Apartment for Rent,"836 S Park View St, Los Angeles, CA 90057",88,0,31,6,0,0,0,0,1,16,12,0,9,0,13,0
Apartment for Rent,"839 Fedora St, Los Angeles, CA 90005",59,0,14,9,0,0,0,0,2,9,9,0,7,0,9,0
Apartment for Rent,"843 Irolo St, Los Angeles, CA 90005",64,0,12,9,0,0,0,0,1,16,6,0,8,0,12,0
Apartment for Rent,"848 Irolo St, Los Angeles, CA 90005",64,0,11,10,0,0,0,0,1,16,6,0,9,0,11,0
Apartment for Rent,"850 S Olive St, Los Angeles, CA 90014",307,1,48,8,0,0,0,0,0,52,25,1,102,0,70,0
Apartment for Rent,"851 S Kenmore Ave, Los Angeles, CA 90005",66,0,16,9,0,0,0,0,2,11,12,0,7,0,9,0
Apartment for Rent,"858 S Gramercy Pl, Los Angeles, CA 90005",52,2,9,8,0,0,0,0,0,12,2,0,8,0,11,0
Apartment for Rent,"887 E 40th Pl, Los Angeles, CA 90011",50,0,6,2,0,0,0,0,0,11,6,0,17,0,8,0
Apartment for Rent,"888 S Olive St, Los Angeles, CA 90014",307,1,48,8,0,0,0,0,0,52,25,1,102,0,70,0
Apartment for Rent,"889 Francisco St, Los Angeles, CA 90017",215,1,37,9,0,0,0,0,1,34,17,1,72,0,43,0
Apartment for Rent,"900 S Vermont Ave, Los Angeles, CA 90006",63,0,14,11,0,0,0,0,2,12,10,0,4,0,10,0
Apartment for Rent,"910 W 23rd St, Los Angeles, CA 90007",40,0,6,3,0,0,0,0,0,10,3,0,14,0,4,0
Apartment for Rent,"914 W 41st St, Los Angeles, CA 90037",44,0,10,4,0,0,0,0,0,4,4,0,13,0,9,0
Apartment for Rent,"918 S Harvard Blvd, Los Angeles, CA 90006",61,0,7,16,0,0,0,0,0,15,3,0,8,0,12,0
Apartment for Rent,"924 S Serrano Ave, Los Angeles, CA 90006",66,0,13,11,0,0,0,0,0,14,4,0,11,0,13,0
Apartment for Rent,"958 Magnolia Ave, Los Angeles, CA 90006",77,0,19,8,0,0,0,0,2,19,8,0,8,0,13,0
Apartment for Rent,"964 S Ardmore Ave, Los Angeles, CA 90006",58,0,6,20,0,0,0,0,0,14,2,0,7,0,9,0
Ardmore,"860 S Ardmore Ave, Los Angeles, CA 90005",60,0,10,11,0,0,0,0,1,14,4,0,8,0,12,0
Atelier,"801 S Olive St, Los Angeles, CA 90014",285,1,46,9,0,0,0,0,0,46,23,1,95,0,64,0
Atlas House,"2500 Wilshire Blvd, Los Angeles, CA 90057",77,0,29,4,0,0,0,0,1,11,10,1,13,0,8,0
Avalon,"1248 W Adams Blvd, Los Angeles, CA 90007",60,0,4,6,0,0,0,0,0,16,3,0,25,0,6,0
Avana on Wilshire,"635 S Hobart Blvd, Los Angeles, CA 90005",70,0,20,4,0,0,0,0,0,12,7,0,11,0,16,0
Avant,"1360-1500 S Figueroa St, Los Angeles, CA 90015",132,1,19,3,0,0,0,0,0,41,6,1,21,0,40,0
Aven,"1120 S Grand Ave, Los Angeles, CA 90015",234,1,28,3,0,0,0,0,0,58,16,1,70,0,57,0
Axis,"1200 S Broadway, Los Angeles, CA 90015",161,1,18,6,0,0,0,0,0,48,9,1,27,0,51,0
B & B Apartments,"750 S Carondelet St, Los Angeles, CA 90057",91,0,31,5,0,0,0,0,1,15,13,1,12,0,13,0
Be DTLA,"1120 W 6th St, Los Angeles, CA 90017",110,1,27,9,0,0,0,0,1,16,14,1,24,0,17,0
Beaudry,"960 W 7th St, Los Angeles, CA 90017",199,0,33,9,0,0,0,0,1,32,18,1,64,0,41,0
Berendo Terrace,"689 S Berendo St, Los Angeles, CA 90005",75,0,20,11,0,0,0,0,2,10,12,0,8,0,12,0
Berendo Villas,"1025 S Berendo St, Los Angeles, CA 90006",56,0,8,20,0,0,0,0,0,8,9,0,5,0,6,0
Berkshire K2LA,"685 S New Hampshire Ave, Los Angeles, CA 90005",81,0,22,11,0,0,0,0,2,11,11,1,11,0,12,0
Bixel at Fifth,"1311 W 5th St, Los Angeles, CA 90017",81,0,24,7,0,0,0,0,0,16,9,2,10,0,13,0
Blackstone Apartments (1 month free rent!)*,"901 S Broadway, Los Angeles, CA 90015",282,1,40,9,0,0,0,0,0,50,21,0,92,0,69,0
Bonnie Brae Apartments,"930 S Bonnie Brae St, Los Angeles, CA 90006",84,1,23,5,0,0,0,0,1,15,12,0,16,0,11,0
Broadway Lofts,"430 S Broadway, Los Angeles, CA 90013",217,1,59,10,0,0,0,0,0,24,25,1,55,0,42,0
Broadway Palace,"1026 S Broadway, Los Angeles, CA 90015",199,1,24,3,0,0,0,0,0,53,11,1,45,0,61,0
Casa Loma LA Apartments,"208-210 W 14th St, Los Angeles, CA 90015",154,2,19,8,0,0,0,0,0,46,11,1,20,0,47,0
Catalina Apartments,"500 S Catalina St, Los Angeles, CA 90020",81,0,18,13,0,0,0,0,2,11,13,0,12,0,12,0
Circa LA,"1200 S Figueroa St, Los Angeles, CA 90015",187,2,26,3,0,0,0,0,0,43,11,1,56,0,45,0
City Lights on Fig,"1300 S Figueroa St, Los Angeles, CA 90015",142,2,20,5,0,0,0,0,0,42,8,1,21,0,43,0
City Lofts,"626 S Spring St, Los Angeles, CA 90014",270,1,74,13,0,0,0,0,0,37,27,2,70,0,46,0
City Park Apartments,"1246 W 30th St, Los Angeles, CA 90007",81,0,6,5,0,0,0,0,0,20,1,0,41,0,8,0
City View Apartments,"1207 Miramar St, Los Angeles, CA 90026",46,0,14,2,0,0,0,0,0,13,2,2,4,0,9,0
Commodore Regency Apartments,"685 S Lucas Ave, Los Angeles, CA 90017",168,1,30,12,0,0,0,0,1,21,17,1,60,0,25,0
Condo for Rent,"1100 Wilshire Blvd, Los Angeles, CA 90017",171,1,28,9,0,0,0,0,1,22,17,1,63,0,29,0
Condo for Rent,"1130 S Flower St, Los Angeles, CA 90015",222,1,29,3,0,0,0,0,0,52,14,1,67,0,55,0
Condo for Rent,"1149 W 25th St, Los Angeles, CA 90007",60,0,7,6,0,0,0,0,0,16,4,0,22,0,5,0
Condo for Rent,"1218 Magnolia Ave, Los Angeles, CA 90006",62,0,17,8,0,0,0,0,0,10,9,0,6,0,12,0
Condo for Rent,"1234 Wilshire Blvd, Los Angeles, CA 90017",148,1,31,11,0,0,0,0,1,19,17,1,51,0,16,0
Condo for Rent,"1476 W 35th St, Los Angeles, CA 90018",38,0,5,8,0,0,0,0,0,10,3,0,6,0,6,0
Condo for Rent,"1532 4th Ave, Los Angeles, CA 90019",43,2,5,7,0,0,0,0,0,10,6,0,6,0,7,0
Condo for Rent,"2121 James M Wood Blvd, Los Angeles, CA 90006",90,0,27,6,0,0,0,0,1,18,12,0,15,0,11,0
Condo for Rent,"249 N Bonnie Brae St, Los Angeles, CA 90026",48,1,7,7,0,0,0,0,0,11,2,1,9,0,10,0
Condo for Rent,"257 S Spring St, Los Angeles, CA 90012",165,1,53,7,0,0,0,0,0,18,19,1,38,0,28,0
Condo for Rent,"2939 Leeward Ave, Los Angeles, CA 90005",71,0,23,8,0,0,0,0,3,11,10,1,7,0,8,0
Condo for Rent,"3511 W 6th St, Los Angeles, CA 90020",74,0,18,11,0,0,0,0,1,12,8,0,10,0,14,0
Condo for Rent,"400 S Broadway, Los Angeles, CA 90013",192,1,58,8,0,0,0,0,0,23,23,1,43,0,35,0
Condo for Rent,"420 San Pedro St, Los Angeles, CA 90013",208,1,68,13,0,0,0,0,1,22,22,2,39,0,40,0
Condo for Rent,"435 S La Fayette Park Pl, Los Angeles, CA 90057",55,1,15,5,0,0,0,0,0,6,5,1,9,0,13,0
Condo for Rent,"460 S Spring St, Los Angeles, CA 90013",217,1,67,9,0,0,0,0,0,28,26,2,48,0,36,0
Condo for Rent,"625 S Berendo St, Los Angeles, CA 90005",75,0,21,12,0,0,0,0,2,8,11,0,10,0,11,0
Condo for Rent,"630 W 6th St, Los Angeles, CA 90017",254,0,48,8,0,0,0,0,0,39,22,2,90,0,45,0
Condo for Rent,"746 S Los Angeles St, Los Angeles, CA 90014",239,2,69,11,0,0,0,0,0,34,26,2,57,0,38,0
Condo for Rent,"800 W 1st St, Los Angeles, CA 90012",49,0,10,2,0,0,0,0,0,10,3,0,10,0,14,0
Condo for Rent,"801 S Grand Ave, Los Angeles, CA 90017",268,1,43,8,0,0,0,0,0,44,22,1,94,0,55,0
Condo for Rent,"849 S Broadway, Los Angeles, CA 90014",302,1,52,10,0,0,0,0,0,50,23,1,96,0,69,0
Condo for Rent,"877 Francisco St, Los Angeles, CA 90017",207,1,35,10,0,0,0,0,1,33,15,1,70,0,41,0
Condo for Rent,"889 Francisco St, Los Angeles, CA 90017",215,1,37,9,0,0,0,0,1,34,17,1,72,0,43,0
Condo for Rent,"900 W Olympic Blvd, Los Angeles, CA 90015",183,0,30,3,0,0,0,0,1,37,12,0,60,0,40,0
Condo for Rent,"901 S Flower St, Los Angeles, CA 90015",251,1,36,6,0,0,0,0,1,46,20,0,81,0,60,0
Condo for Rent,"926 S Manhattan Pl, Los Angeles, CA 90019",63,1,12,11,0,0,0,0,0,15,4,0,9,0,11,0
Crenshaw Townhouse,"1327-1329 S Crenshaw Blvd, Los Angeles, CA 90019",29,0,2,3,0,0,0,0,0,8,4,0,8,0,4,0
Crosby,"3350 Wilshire Blvd, Los Angeles, CA 90010",66,0,19,10,0,0,0,0,2,11,7,0,9,0,8,0
Crystal House Apartments,"1630 W 3rd St, Los Angeles, CA 90017",84,0,23,12,0,0,0,0,0,14,10,3,13,0,9,0
DON - St. Germaine,"900 S Serrano Ave, Los Angeles, CA 90006",67,0,13,10,0,0,0,0,0,15,5,0,11,0,13,0
Decollage Apartments,"3057-3067 W Pico Blvd, Los Angeles, CA 90006",62,0,17,9,0,0,0,0,0,10,9,0,7,0,10,0
E on Grand,"1249 S Grand Ave, Los Angeles, CA 90015",171,2,21,6,0,0,0,0,0,51,9,1,29,0,52,0
E on Hoover,"1157 S Hoover St, Los Angeles, CA 90006",75,0,17,11,0,0,0,0,1,13,10,0,9,0,14,0
Eighth & Grand,"770 S Grand Ave, Los Angeles, CA 90014",264,1,44,10,0,0,0,0,0,40,23,1,88,0,57,0
Emerald,"215 W 14th St, Los Angeles, CA 90015",165,2,21,7,0,0,0,0,0,50,11,1,25,0,48,0
Fedora Woods,"861 Fedora, LOS ANGELES, CA 90005",55,0,12,9,0,0,0,0,1,8,9,0,7,0,9,0
Fedora x Trilby,"826-840 S Mariposa Ave, Los Angeles, CA 90005",70,0,18,11,0,0,0,0,2,11,8,0,7,0,13,0
G12,"1200 S Grand Ave, Los Angeles, CA 90015",225,1,26,6,0,0,0,0,0,54,12,1,69,0,56,0
Gamer Apartment | Live Work Loft in Los An...,"443 S San Pedro St, Los Angeles, CA 90013",219,1,71,12,0,0,0,0,1,26,24,2,43,0,39,0
Garment Lofts,"217 E 8th St, Los Angeles, CA 90014",233,2,67,11,0,0,0,0,0,34,25,2,53,0,39,0
Gas Company Lofts,"810 S Flower St, Los Angeles, CA 90017",238,0,35,7,0,0,0,0,0,39,21,0,86,0,50,0
Gillman Studio Apartments,"417 S Rampart Blvd, Los Angeles, CA 90057",54,1,14,5,0,0,0,0,0,8,6,1,10,0,9,0
Gramercy Place,"1500 S Gramercy Pl, Los Angeles, CA 90019",51,3,4,8,0,0,0,0,0,9,5,0,12,0,10,0
Grand Central Market Apartments,"307-317 S Broadway, Los Angeles, CA 90013",212,1,56,10,0,0,0,0,0,25,25,1,54,0,40,0
HWH Luxury Living,"354 S Spring St, Los Angeles, CA 90013",194,1,61,8,0,0,0,0,0,21,23,2,46,0,32,0
Haddon Hall,"3176-3188 W 8th St, Los Angeles, CA 90005",63,0,13,6,0,0,0,0,0,15,4,0,10,0,15,0
Hallasan,"696 S New Hampshire Ave, Los Angeles, CA 90005",77,0,24,10,0,0,0,0,2,10,10,1,10,0,10,0
Hartford Apartments,"744 Hartford Ave, Los Angeles, CA 90017",149,1,28,10,0,0,0,0,1,25,17,1,48,0,18,0
Hellman Building,"411 S Main St, Los Angeles, CA 90013",213,1,67,9,0,0,0,0,0,27,26,2,48,0,33,0
House for Rent,"1030 S St Andrews Pl, Los Angeles, CA 90019",65,2,6,17,0,0,0,0,0,16,5,0,11,0,8,0
House for Rent,"1045 W 52nd St, Los Angeles, CA 90037",64,1,12,3,0,0,0,0,1,14,10,0,19,0,4,0
House for Rent,"1113 4th Ave, Los Angeles, CA 90019",45,4,5,10,0,0,0,0,0,8,7,0,8,0,3,0
House for Rent,"1179 W 28th St, Los Angeles, CA 90007",72,0,7,5,0,0,0,0,0,17,1,0,37,0,5,0
House for Rent,"1180 W 37th Plz, Los Angeles, CA 90007",49,0,5,6,0,0,0,0,0,13,2,0,15,0,8,0
House for Rent,"1213 W 24th St, Los Angeles, CA 90007",53,0,7,6,0,0,0,0,0,16,4,0,15,0,5,0
House for Rent,"1222 W 35th St, Los Angeles, CA 90007",56,0,5,6,0,0,0,0,0,13,2,0,19,0,11,0
House for Rent,"1228 Fedora St, Los Angeles, CA 90006",51,0,5,22,0,0,0,0,0,7,6,0,6,0,5,0
House for Rent,"1231 W 36th Pl, Los Angeles, CA 90007",51,0,5,6,0,0,0,0,0,13,2,0,16,0,9,0
House for Rent,"1237 W 25th St, Los Angeles, CA 90007",57,0,6,6,0,0,0,0,0,18,4,0,17,0,6,0
House for Rent,"1237 W 37th Plz, Los Angeles, CA 90007",48,0,5,5,0,0,0,0,0,16,2,0,12,0,8,0
House for Rent,"1301 W 22nd St, Los Angeles, CA 90007",50,0,8,5,0,0,0,0,0,14,4,0,14,0,5,0
House for Rent,"1316 W 35th St, Los Angeles, CA 90007",41,0,5,7,0,0,0,0,0,9,1,0,9,0,10,0
House for Rent,"1320 12th Ave, Los Angeles, CA 90019",31,2,4,4,0,0,0,0,0,8,6,0,2,0,5,0
House for Rent,"1325 W Adams Blvd, Los Angeles, CA 90007",57,0,6,6,0,0,0,0,0,17,4,0,18,0,6,0
House for Rent,"1329 W 37th Pl, Los Angeles, CA 90007",43,0,5,9,0,0,0,0,0,11,2,1,7,0,8,0
House for Rent,"1334 W 22nd St, Los Angeles, CA 90007",51,0,7,5,0,0,0,0,0,15,4,0,15,0,5,0
House for Rent,"1375 W 37th Dr, Los Angeles, CA 90007",40,0,5,9,0,0,0,0,0,11,3,1,4,0,7,0
House for Rent,"1385 W 22nd St, Los Angeles, CA 90007",49,0,7,3,0,0,0,0,0,16,4,0,14,0,5,0
House for Rent,"1430 E 20th St, Los Angeles, CA 90011",42,0,7,1,0,0,0,0,0,8,5,0,10,0,11,0
House for Rent,"1451 W 36th Plz, Los Angeles, CA 90018",42,0,6,7,0,0,0,0,0,13,5,1,4,0,6,0
House for Rent,"1511 4th Ave, Los Angeles, CA 90019",41,2,6,7,0,0,0,0,0,9,6,0,6,0,5,0
House for Rent,"1513 4th Ave, Los Angeles, CA 90019",41,2,6,7,0,0,0,0,0,9,6,0,6,0,5,0
House for Rent,"1540 W 58th St, Los Angeles, CA 90062",55,1,15,9,0,0,0,0,0,11,9,0,6,0,4,0
House for Rent,"1651 W 37th Pl, Los Angeles, CA 90018",40,0,11,8,0,0,0,0,0,9,5,1,4,0,2,0
House for Rent,"1826 Westmoreland Blvd, Los Angeles, CA 90006",32,0,4,4,0,0,0,0,0,6,2,0,9,0,7,0
House for Rent,"1847 W 43rd Pl, Los Angeles, CA 90062",34,0,8,0,0,0,0,0,0,10,3,1,4,0,8,0
House for Rent,"1859 W Slauson Ave, Los Angeles, CA 90047",54,0,21,5,0,0,0,0,0,9,9,1,5,0,4,0
House for Rent,"1907 W 48th St, Los Angeles, CA 90062",34,0,7,2,0,0,0,0,0,8,5,0,4,0,8,0
House for Rent,"1981 Estrella Ave, Los Angeles, CA 90007",48,1,9,3,0,0,0,0,0,11,6,0,13,0,5,0
House for Rent,"2022 W 31st St, Los Angeles, CA 90018",29,0,4,3,0,0,0,0,0,10,4,0,4,0,4,0
House for Rent,"2032 W 31st St, Los Angeles, CA 90018",29,0,4,3,0,0,0,0,0,10,4,0,4,0,4,0
House for Rent,"2040 Browning Blvd, Los Angeles, CA 90062",17,0,5,1,0,0,0,0,0,4,0,1,0,0,6,0
House for Rent,"2056 W 29th Pl, Los Angeles, CA 90018",35,0,4,5,0,0,0,0,0,10,4,0,5,0,7,0
House for Rent,"2059 W 29th St, Los Angeles, CA 90018",34,0,4,5,0,0,0,0,0,10,3,0,5,0,7,0
House for Rent,"2142 Portland St, Los Angeles, CA 90007",41,0,6,4,0,0,0,0,0,10,3,0,14,0,4,0
House for Rent,"2349 W 29th Pl, Los Angeles, CA 90018",26,0,2,0,0,0,0,0,0,13,1,0,1,0,9,0
House for Rent,"2418 W Vernon Ave, Los Angeles, CA 90043",14,0,2,1,0,0,0,0,0,5,1,0,0,0,5,0
House for Rent,"243 E 38th St, Los Angeles, CA 90011",62,0,6,1,0,0,0,0,0,14,4,0,34,0,3,0
House for Rent,"2534 7th Ave, Los Angeles, CA 90018",30,0,4,2,0,0,0,0,0,9,0,0,2,0,13,0
House for Rent,"2712 Menlo Ave, Los Angeles, CA 90007",75,0,7,6,0,0,0,0,0,21,2,0,30,0,9,0
House for Rent,"2768 Wright Ln, Los Angeles, CA 90068",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
House for Rent,"2827 S Hoover St, Los Angeles, CA 90007",71,0,7,5,0,0,0,0,0,13,2,0,39,0,5,0
House for Rent,"331 S Westlake Ave, Los Angeles, CA 90057",79,0,26,10,0,0,0,0,0,10,13,0,12,0,8,0
House for Rent,"3511 S Bronson Ave, Los Angeles, CA 90018",34,1,3,6,0,0,0,0,0,3,2,0,11,0,8,0
House for Rent,"3536 6th Ave, Los Angeles, CA 90018",17,1,2,0,0,0,0,0,0,7,1,0,1,0,5,0
House for Rent,"3679 Halldale Ave, Los Angeles, CA 90018",44,0,9,9,0,0,0,0,0,12,5,1,5,0,3,0
House for Rent,"3711 W Pico Blvd, Los Angeles, CA 90019",49,4,6,8,0,0,0,0,0,10,7,0,10,0,4,0
House for Rent,"3717 Raymond Ave, Los Angeles, CA 90007",45,0,6,9,0,0,0,0,0,12,2,1,7,0,8,0
House for Rent,"3823 S Van Ness Ave, Los Angeles, CA 90062",14,0,2,1,0,0,0,0,0,4,0,0,2,0,5,0
