Name,Location,Price(in $),Latitude,Longitude,Distance(meter),Total,Arson,Assault,Burglary,Homicide,Motor Vehicle Theft,Robbery,Sex Crimes,Theft/Larceny,Vehicle Break-In/Theft
Maxfield Lofts,"819 Santee St, Los Angeles, CA 90014",2435.0,34.0411657,-118.2522843,3674.035700638409,228,2,61,9,0,37,24,2,49,44
Menlo 2,"980 Menlo Ave, Los Angeles, CA 90006",1872.0,34.052954,-118.2902551,3430.495641215073,63,0,10,13,1,15,9,0,4,11
Mercantile Lofts,"620 S Main St, Los Angeles, CA 90014",3210.0,34.0444743,-118.2502786,4039.903490083745,258,1,77,11,0,37,26,2,60,44
Met Lofts,"1050 S Flower St, Los Angeles, CA 90015",4174.0,34.0431334,-118.2636946,3034.1082670974265,247,1,29,4,0,54,15,1,80,63
Morgan Lofts Unit 306,"3324-3330 Wilshire Blvd, Los Angeles, CA 90010",2450.0,34.061848,-118.295029,4480.804147274596,70,0,20,10,2,12,7,0,9,10
Museum Tower,"225 S Olive St, Los Angeles, CA 90012",4986.0,34.0532819,-118.2498532,4726.494651112169,109,0,32,5,0,16,11,1,22,22
National City Tower,"810 S Spring St, Los Angeles, CA 90014",4175.0,34.0428604,-118.2534902,3696.022276014569,258,2,62,9,0,42,26,2,61,54
Next on Sixth,"620 S Virgil Ave, Los Angeles, CA 90005",2876.0,34.0633307,-118.2858013,4551.744855045419,71,1,21,7,1,11,7,1,12,10
OSM USC Housing,"1239 W 30th St, Los Angeles, CA 90007",3875.0,34.0277062,-118.289986,742.2131581165814,77,0,6,6,0,18,1,0,39,7
Olive DTLA,"1213-1237 S Olive St, Los Angeles, CA 90015",3460.0,34.039065,-118.262594,2781.214183241226,238,1,32,4,0,59,14,1,70,57
Olympic by Windsor,"936 S Olive St, Los Angeles, CA 90015",3120.0,34.0425232,-118.2591086,3277.7011498681736,289,1,36,7,0,56,23,0,95,71
Onyx DTLA,"424 W Pico Blvd, Los Angeles, CA 90015",2994.0,34.0392488,-118.2654307,2606.789194693208,160,2,21,6,0,46,9,1,26,49
PRE - The President,"669 S Union Ave, Los Angeles, CA 90017",1685.0,34.0545933,-118.2707964,3814.648056803469,106,1,32,12,1,16,18,0,15,11
Pacific Electric Lofts,"610 S Main St, Los Angeles, CA 90014",3129.0,34.044648,-118.2497744,4088.55859400226,252,1,79,11,1,36,26,2,57,39
Packard Lofts,"1000 S Hope St, Los Angeles, CA 90015",3422.0,34.0431473,-118.2617332,3155.7297411521463,256,1,33,6,0,53,18,1,81,63
Park Fifth,"427 W 5th St, Los Angeles, CA 90013",4497.0,34.0490613,-118.2520533,4249.896372637889,201,0,46,10,0,25,23,1,50,46
Park Gramercy Apartments,"849 S Gramercy Dr, Los Angeles, CA 90005",1695.0,34.056966,-118.312263,4586.634217179088,53,0,11,9,0,11,4,0,8,10
Park Wilshire,"2424 Wilshire Blvd, Los Angeles, CA 90057",2182.0,34.0597223,-118.2798877,4177.747032499879,76,0,27,4,1,11,11,1,12,9
Pegasus,"612 S Flower St, Los Angeles, CA 90017",2562.0,34.0495546,-118.2575106,3947.164747688402,227,0,38,10,0,36,20,2,77,44
Phoenix Apartments (Brand New),"1421-1439 W Adams Blvd, Los Angeles, CA 90007",3200.0,34.032833,-118.29241,1341.5031318471374,58,0,6,4,0,12,2,0,29,5
Plaza at Lafayette,"401 S La Fayette Park Pl, Los Angeles, CA 90057",2697.0,34.0658576,-118.281502,4843.622549263119,52,1,14,5,0,6,5,1,9,11
Premiere Towers,"621 S Spring St, Los Angeles, CA 90014",2400.0,34.045547,-118.25167,4014.237054340407,271,1,75,11,0,37,27,2,70,48
Prince Rupert Apartments,"1305 Ingraham St, Los Angeles, CA 90017",1737.0,34.053202,-118.2672508,3799.449316462594,101,1,26,12,1,19,12,1,14,15
Private Furnished Rooms - Co-Living Life,"2651 S Hobart Blvd, Los Angeles, CA 90018",1437.0,34.0317669,-118.3079215,2346.904264799445,24,0,5,0,0,8,1,0,5,5
Private Suite - Co-living Life,"1430 W 37th St, Los Angeles, CA 90018",1269.0,34.0208818,-118.3010844,1482.7840327165247,42,0,5,8,0,13,5,1,3,7
Radius Koreatown,"680 S Berendo St, Los Angeles, CA 90005",2780.0,34.0605475,-118.2940376,4321.007363012228,82,0,22,12,2,10,12,1,11,12
Renaissance Tower,"501 W Olympic Blvd, Los Angeles, CA 90015",2657.0,34.0434194,-118.2609485,3227.345343954386,266,1,36,6,0,54,20,0,84,65
Rise Koreatown,"750 S Oxford Ave, Los Angeles, CA 90005",3215.0,34.0586545,-118.3077254,4538.455326275671,61,0,13,5,0,14,4,0,10,15
SB Main,"111 W 7th St, Los Angeles, CA 90014",2976.0,34.04416,-118.25158,3923.683911469144,268,1,73,12,0,38,26,2,72,44
SB Manhattan,"215 W 6th St, Los Angeles, CA 90014",1850.0,34.046129,-118.2510687,4098.267335691732,264,1,72,11,0,36,27,2,66,49
SB Spring,"650 S Spring St, Los Angeles, CA 90014",2872.0,34.044679,-118.252025,3927.620195944143,276,1,75,14,0,38,26,2,72,48
SB Tower,"600 S Spring St, Los Angeles, CA 90014",3301.0,34.0457301,-118.2509874,4075.632743485493,265,1,75,12,0,37,27,2,65,46
Santee Court,"716-718 S Los Angeles St, Los Angeles, CA 90014",2199.0,34.0426011,-118.2513535,3836.151436553251,240,1,69,11,0,35,26,2,58,38
SevenWest,"1331 W 7th St, Los Angeles, CA 90017",3035.0,34.0525701,-118.2680025,3706.267437350081,98,1,23,12,1,20,12,1,14,14
Sienna,"1011 S Serrano Ave, Los Angeles, CA 90006",2706.0,34.0523153,-118.3064176,3863.105259583755,56,1,4,14,0,13,3,0,12,9
Skye at Bunker Hill,"234 S Figueroa St, Los Angeles, CA 90012",2876.0,34.0559729,-118.2535411,4732.042832353675,50,0,12,1,0,7,4,0,12,14
South Kenmore Apartments,"915 S Kenmore Ave, Los Angeles, CA 90006",1535.0,34.0553842,-118.2966216,3818.232866716367,61,0,11,13,2,9,11,0,7,8
South Park by Windsor,"939 S Hill St, Los Angeles, CA 90015",2687.0,34.0424975,-118.2577452,3368.702158857628,293,1,40,8,0,57,21,0,98,68
South Virgil Apartments,"615 S Virgil Ave, Los Angeles, CA 90005",1463.0,34.0633469,-118.2871377,4556.956905697351,78,0,22,11,2,11,9,1,12,10
Spring Arcade Building,"541 S Spring St, Los Angeles, CA 90013",2175.0,34.0465999,-118.2506512,4161.437813232608,263,1,72,11,0,35,25,2,67,50
Spring Tower Lofts,"639 S Spring St, Los Angeles, CA 90014",3625.0,34.045063,-118.2519176,3962.3178333904207,276,1,74,12,0,39,26,2,71,51
Sunflower Norton Apartments,"1242 S Norton Ave, Los Angeles, CA 90019",2700.0,34.048705,-118.32319,4568.86779368598,41,3,4,6,0,10,7,0,7,4
"TENTEN DOWNTOWN 10 Weeks Free & $1,000 Back*","1027 Wilshire Blvd, Los Angeles, CA 90017",4025.0,34.0522206,-118.2628724,3897.4466001894416,150,0,26,8,1,17,16,1,53,28
"TENTEN WILSHIRE 10 Weeks Free + $1,000 Back*","1010 Wilshire Blvd, Los Angeles, CA 90017",4210.0,34.0515084,-118.2617323,3887.489546773729,171,1,30,10,1,27,14,1,57,30
THEA at Metropolis,"1000 W 8th St, Los Angeles, CA 90017",13733.0,34.049487,-118.265004,3535.644598675557,191,1,32,11,1,30,15,1,64,36
The 900,"900 S Vermont Ave, Los Angeles, CA 90006",2920.0,34.055819,-118.291523,3762.856839591836,62,0,14,11,2,11,10,0,4,10
The Ashby @ 8th,"808 S Hobart Blvd, Los Angeles, CA 90005",1647.0,34.0574302,-118.3052315,4314.307926132226,60,0,12,5,0,12,4,0,10,17
The Audrey,"700 S Manhattan Pl, Los Angeles, CA 90005",3063.0,34.0671438,-118.3103678,5493.031293821966,54,0,13,3,0,13,5,0,8,12
The BORA 3170,"3170 W Olympic Blvd, Los Angeles, CA 90006",3511.0,34.0525145,-118.3054761,3839.027496207122,59,0,5,17,0,13,3,0,13,8
The Brockman Lofts,"530 W 7th St, Los Angeles, CA 90014",3902.0,34.0468926,-118.2565064,3789.3885918329647,262,0,47,9,0,41,23,1,91,50
The Chapman Flats,"756 S Broadway, Los Angeles, CA 90014",2250.0,34.0443541,-118.2540411,3761.7295879836392,254,2,56,9,0,42,23,1,65,56
The Charleston Apartments,"729 S Union Ave, Los Angeles, CA 90017",995.0,34.053245,-118.271679,3645.944199243916,112,1,37,11,1,17,18,0,15,12
The Emerson,"225 S Grand Ave, Los Angeles, CA 90012",3722.0,34.0541727,-118.2513144,4708.85357461232,82,0,21,1,0,13,7,1,18,21
The Enchanted,"826 S Hobart Blvd, Los Angeles, CA 90005",1395.0,34.0571425,-118.3052304,4285.404558347813,62,0,12,5,0,13,4,0,10,18
The Flat,"750 S Garland Ave, Los Angeles, CA 90017",2542.0,34.050623,-118.266868,3559.6358028816067,158,1,26,11,1,28,16,1,52,22
The Frazier,"1107 S Hobart Blvd, Los Angeles, CA 90006",3335.0,34.0506254,-118.3053248,3650.120986923832,57,0,2,19,0,12,3,0,12,9
The Gemma,"3540 Wilshire Blvd, Los Angeles, CA 90010",3217.0,34.0616526,-118.3017829,4627.455291116516,73,0,18,9,1,10,8,0,11,16
The Great Republic Lofts,"756 S Spring St, Los Angeles, CA 90014",2675.0,34.0430393,-118.253275,3723.894865844697,260,2,68,9,0,38,27,2,64,50
The Hana,"801 S Berendo St, Los Angeles, CA 90005",3151.0,34.057616,-118.294235,4005.282083646498,68,0,20,10,2,11,9,0,6,10
The Harper,"800 S Harvard Blvd, Los Angeles, CA 90005",3270.0,34.057558,-118.304062,4282.054801859448,65,0,15,5,0,13,4,0,11,17
The Irolo,"932 Irolo St, Los Angeles, CA 90006",1535.0,34.0553928,-118.3007831,3942.983455605204,61,0,7,17,0,14,5,0,7,11
The Kenmore,"966 S Kenmore Ave, Los Angeles, CA 90006",2455.0,34.0536864,-118.2967453,3640.615261076901,60,0,9,19,1,8,10,0,6,7
The Langham,"715 S Normandie Ave, Los Angeles, CA 90005",1900.0,34.0593134,-118.3001433,4332.304406651188,64,0,15,9,1,9,9,0,8,13
The Lofts at the Security Building Apartments,"510 S Spring St, Los Angeles, CA 90013",2337.0,34.0470827,-118.2497111,4262.251559843011,243,1,71,9,0,32,26,2,57,45
The Lorenzo- Student Housing near USC,"325 W Adams Blvd, Los Angeles, CA 90007",2162.0,34.0284707,-118.2722588,1362.395912691858,53,0,9,3,0,13,4,0,19,5
The Medici,"725 S Bixel St, Los Angeles, CA 90017",5025.0,34.0505595,-118.2645185,3660.741835401277,181,1,29,11,1,29,15,1,63,31
The Met,"950 S Flower St, Los Angeles, CA 90015",2552.0,34.0451991,-118.2618902,3316.7993875389075,253,1,37,7,1,48,19,0,80,60
The Mint,"1136 W 6th St, Los Angeles, CA 90017",2595.0,34.0541263,-118.2625071,4096.24428380384,91,1,23,6,1,14,13,2,17,14
The Nexen,"2968 W 7th St, Los Angeles, CA 90005",2980.0,34.0597025,-118.288451,4159.324837769022,74,0,25,9,3,11,10,1,8,7
The Oxford @ Olympic,"979-985 S Oxford Ave, Los Angeles, CA 90006",1362.0,34.0508363,-118.3074377,3772.8900131755313,58,1,4,14,0,13,3,0,12,11
The Pearl,"687 S Hobart Blvd, Los Angeles, CA 90005",2979.0,34.06159,-118.305444,4743.782878209887,68,0,17,2,0,13,6,0,11,19
The Piero,"609 St Paul Ave, Los Angeles, CA 90017",2947.0,34.05333,-118.2611024,4088.7682946721934,151,0,29,8,1,16,16,1,53,27
The Ten Apartments,"2336 Crenshaw Blvd, Los Angeles, CA 90016",1600.0,34.03625,-118.3329527,4670.952323994993,19,0,5,2,0,7,0,0,1,4
The Thompson,"3345 Wilshire Blvd, Los Angeles, CA 90010",2487.0,34.0618486,-118.2963729,4507.780747721589,64,0,18,10,2,10,7,0,9,8
The Vermont,"3150 Wilshire Blvd, Los Angeles, CA 90010",4059.0,34.0617159,-118.2906854,4401.915375391459,77,0,22,13,2,12,10,1,9,8
The View,"3460 W 7th St, Los Angeles, CA 90005",3540.0,34.0596302,-118.3023012,4432.832177832329,71,0,18,6,1,11,8,0,10,17
The Visconti,"1221 W 3rd St, Los Angeles, CA 90017",2981.0,34.0574981,-118.2591582,4576.560441891526,51,0,15,4,0,14,2,2,4,10
The Walnut Building,"691 Mill St, Los Angeles, CA 90021",4400.0,34.0349143,-118.2345827,4858.875166702532,28,0,3,1,0,4,1,0,4,15
Title Guarantee Lofts,"411 W 5th St, Los Angeles, CA 90013",2440.0,34.049089,-118.251832,4266.672657572294,211,1,49,10,0,26,25,1,53,46
Townhome for Rent,"1041 Leighton Ave, Los Angeles, CA 90037",3500.0,34.0133,-118.2927865,1235.2168829310715,35,0,7,6,0,8,3,0,7,4
Townhome for Rent,"1110 W 54th St, Los Angeles, CA 90037",3175.0,33.9931343,-118.2938984,3353.733512639003,66,1,15,3,0,13,11,0,19,4
Townhome for Rent,"1141 Irolo St, Los Angeles, CA 90006",3900.0,34.0501044,-118.301119,3415.96708461086,57,0,3,21,0,12,3,0,12,6
Townhome for Rent,"1200 W 24th St, Los Angeles, CA 90007",7030.0,34.034305,-118.286641,1331.3709044061377,53,0,7,6,0,17,4,0,15,4
Townhome for Rent,"1208 W 25th St, Los Angeles, CA 90007",5367.0,34.0334978,-118.2868114,1244.0564504305107,66,0,7,6,0,20,4,0,25,4
Townhome for Rent,"1212 Fedora St, Los Angeles, CA 90006",6000.0,34.0487553,-118.2977805,3154.927961252204,52,0,4,23,0,7,6,0,6,6
Townhome for Rent,"1224 W 37th Pl, Los Angeles, CA 90007",1565.0,34.0198795,-118.2953015,981.0731663605044,45,0,5,5,0,13,2,0,12,8
Townhome for Rent,"1265 W 35th St, Los Angeles, CA 90007",1000.0,34.0246265,-118.296419,1072.1271505424752,51,0,5,9,0,11,1,0,14,11
Townhome for Rent,"1316 W 35th St, Los Angeles, CA 90007",5845.0,34.0245044,-118.297856,1198.6465505858198,41,0,5,7,0,9,1,0,9,10
Townhome for Rent,"1339 W 35th Pl, Los Angeles, CA 90007",2800.0,34.0237652,-118.2984153,1236.4880523619188,43,0,5,10,0,9,1,0,8,10
Townhome for Rent,"1356 W 30th St, Los Angeles, CA 90007",1272.0,34.0276834,-118.2932375,952.6488597166344,60,0,6,4,0,18,1,0,22,9
Townhome for Rent,"1360 W 24th St, Los Angeles, CA 90007",1273.0,34.0342143,-118.2906594,1410.054957448741,55,0,6,5,0,17,4,0,17,6
Townhome for Rent,"1374 W 35th Pl, Los Angeles, CA 90007",4872.0,34.023606,-118.2995117,1334.9320675823642,41,0,5,10,0,9,1,0,7,9
Townhome for Rent,"1432 E 20th St, Los Angeles, CA 90011",4500.0,34.0211832,-118.2481445,3408.5465772879697,43,0,7,1,0,8,5,0,10,12
Townhome for Rent,"1603 W 35th St, Los Angeles, CA 90018",1093.0,34.0247132,-118.3061603,1957.869877349847,32,0,4,8,0,6,5,0,6,3
Townhome for Rent,"1609 W 35th Pl, Los Angeles, CA 90018",1033.0,34.0238014,-118.3063488,1964.473095066472,35,0,8,8,0,6,5,0,5,3
Townhome for Rent,"1618 W 35th Pl, Los Angeles, CA 90018",1053.0,34.0236404,-118.3071737,2038.977723898553,36,0,8,8,0,8,5,0,5,2
Townhome for Rent,"1621 E 46th St, Los Angeles, CA 90011",4000.0,34.0019032,-118.2455672,4297.878927569414,20,1,5,0,0,8,4,0,0,2
Townhome for Rent,"1621 S Van Ness Ave, Los Angeles, CA 90019",4408.0,34.0432316,-118.3164823,3705.181505402,38,3,5,6,0,8,4,0,6,6
Townhome for Rent,"1635 E 33rd St, Los Angeles, CA 90011",600.0,34.0109576,-118.2446211,3941.795162040357,13,1,3,0,0,4,2,0,1,2
Townhome for Rent,"1637 E 33rd St, Los Angeles, CA 90011",650.0,34.010947,-118.2445882,3945.045812421961,13,1,3,0,0,4,2,0,1,2
Townhome for Rent,"1813 W Adams Blvd, Los Angeles, CA 90018",1048.0,34.0327973,-118.3036151,2061.0525389006366,20,0,2,0,0,7,0,0,6,5
Townhome for Rent,"1822 Orchard Ave, Los Angeles, CA 90006",4350.0,34.0408752,-118.2886569,2080.3319116631315,40,0,8,6,0,9,8,0,4,5
Townhome for Rent,"1822 Orchard Ave., Los Angeles, CA 90006",4350.0,34.0408752,-118.2886569,2080.3319116631315,40,0,8,6,0,9,8,0,4,5
Townhome for Rent,"234 E 27th St, Los Angeles, CA 90011",600.0,34.0231119,-118.267377,1635.269997611975,46,0,7,3,0,14,4,0,7,11
Townhome for Rent,"2663 5th Ave, Los Angeles, CA 90018",2900.0,34.0308242,-118.322515,3572.988755966732,25,0,2,0,0,9,0,0,2,12
Townhome for Rent,"2688 Orchard Ave, Los Angeles, CA 90007",9450.0,34.0306406,-118.2873228,938.9305336647742,70,0,7,6,0,19,1,0,32,5
Townhome for Rent,"3011 S Budlong Ave, Los Angeles, CA 90007",5372.0,34.0270047,-118.2959981,1127.3313023074309,51,0,4,8,0,14,1,0,13,11
Townhome for Rent,"3505 Raymond Ave, Los Angeles, CA 90007",1925.0,34.0244419,-118.2981537,1224.2587390177878,43,0,5,9,0,10,1,0,8,10
Townhome for Rent,"3915 Brighton Ave, Los Angeles, CA 90062",3200.0,34.0147731,-118.3013564,1721.6340339102092,39,1,12,3,0,11,2,1,5,4
Townhome for Rent,"3968 Arlington Ave, Los Angeles, CA 90008",1680.0,34.0132587,-118.3181299,3209.4307364727297,12,0,0,1,0,5,0,0,0,6
Townhome for Rent,"3996 La Salle Ave, Los Angeles, CA 90062",3500.0,34.011041,-118.3055798,2271.164595343641,42,1,14,0,0,12,1,2,7,5
Townhome for Rent,"4151 Brighton Ave, Los Angeles, CA 90062",2495.0,34.008301,-118.301357,2168.624826556498,39,1,12,1,0,10,2,1,6,6
Townhome for Rent,"4232 S Olive St, Los Angeles, CA 90037",2400.0,34.0067807,-118.279354,1815.738916945603,75,0,9,3,0,7,4,1,43,8
Townhome for Rent,"4306 S Normandie Ave, Los Angeles, CA 90037",3850.0,34.0052948,-118.3000791,2350.267755944534,31,1,9,1,1,7,2,0,2,8
Townhome for Rent,"4416 8th Ave, Los Angeles, CA 90043",2050.0,34.003109,-118.325644,4308.862148488606,13,0,5,1,0,2,1,0,2,2
Townhome for Rent,"4418 8th Ave, Los Angeles, CA 90008",2450.0,34.0030965,-118.3256441,4309.562493906009,13,0,5,1,0,2,1,0,2,2
Townhome for Rent,"5430 S Wilton Pl, Los Angeles, CA 90062",1300.0,33.9928981,-118.3148324,4274.630744750342,59,0,24,4,0,13,9,1,5,3
Townhome for Rent,"608 W 42nd St, Los Angeles, CA 90037",3200.0,34.0069715,-118.2843833,1716.842212163902,43,0,10,2,0,5,5,0,13,8
Trademark,"437 S Hill St, Los Angeles, CA 90013",4274.0,34.049653,-118.2514664,4334.544382037704,201,0,45,10,0,24,23,1,52,46
Tremont Apartments,"514 S Catalina St, Los Angeles, CA 90020",2725.0,34.0650614,-118.2952954,4835.846794191922,82,0,19,13,2,11,13,0,12,12
Tripalink Co-living Apartments,"1147 W 37th St, Los Angeles, CA 90007",1575.0,34.021041,-118.2927135,717.7570235002471,57,0,5,6,0,14,2,0,21,9
Tripalink-1344 W 37th Pl,"1344 W 37th Pl, Los Angeles, CA 90007",1620.0,34.0198872,-118.298837,1296.4931363524322,39,0,3,7,0,11,2,1,7,8
Tuscani Villas,"369 Columbia Ave, Los Angeles, CA 90017",1837.0,34.0579023,-118.2654433,4343.334803569489,93,1,25,12,0,16,10,3,14,12
Tuscany Apartments Student Living,"3770 S Figueroa St, Los Angeles, CA 90007",2445.0,34.0168761,-118.2826486,654.4632954804432,43,0,1,3,0,13,1,0,21,4
University Gateway,"3335 S Figueroa St, Los Angeles, CA 90007",2692.0,34.022364,-118.2798047,488.0337820826196,77,0,6,4,0,18,2,0,40,7
WILCO Apartments,"2525 Wilshire Blvd, Los Angeles, CA 90057",2503.0,34.0603091,-118.2807739,4234.104110854551,75,0,27,3,1,10,11,1,13,9
Watermarke Tower,"705 W 9th St, Los Angeles, CA 90015",6236.0,34.0463266,-118.2617087,3424.077720994748,242,1,36,8,1,40,20,0,81,55
West 27th,"2700 S Figueroa St, Los Angeles, CA 90007",2955.0,34.02722,-118.276486,957.8343710848684,62,0,7,4,0,12,2,0,32,5
Western Towers,"1057 S Western Ave, Los Angeles, CA 90006",1535.0,34.0512286,-118.3091469,3896.869068198686,59,2,5,15,0,12,4,0,11,10
Westland @ Regina,"420 S Westlake Ave, Los Angeles, CA 90057",1535.0,34.0604435,-118.272598,4384.280158018649,74,0,24,9,0,8,13,0,14,6
Westmore on Wilshire,"3075 Wilshire Blvd, Los Angeles, CA 90010",2525.0,34.061892,-118.288559,4402.86034344219,79,0,23,12,2,11,10,1,12,8
Wilshire Valencia,"1515 Wilshire Blvd, Los Angeles, CA 90017",2868.0,34.0548093,-118.2686684,3908.883881559762,111,1,36,12,1,18,15,1,15,12
Wilshire Vermont,"3183 Wilshire Blvd, Los Angeles, CA 90010",2719.0,34.0626745,-118.2909789,4510.960080847612,86,0,23,14,2,12,11,1,12,11
Windsor Court,"900 S Irolo St, Los Angeles, CA 90006",2021.0,34.05301,-118.301027,3706.5874971732223,60,0,10,11,1,15,5,0,8,10
Wren,"1230 S Olive St, Los Angeles, CA 90015",3002.0,34.0384342,-118.2629339,2711.3110914561503,179,1,25,7,0,51,10,1,35,49
mResidences Olympic & Olive,"1001 S Olive St, Los Angeles, CA 90015",2895.0,34.0419696,-118.2603795,3150.299789194706,260,1,31,5,0,55,17,1,83,67
the 314 DTLA,"601 S Broadway, Los Angeles, CA 90014",2645.0,34.046601,-118.252201,4053.6349337095776,252,1,65,11,0,34,24,1,66,50
